cash,date,equity,future_expiry,future_mark,future_qty,margin_headroom,margin_required,option_expiry,option_mark,option_qty,option_strike,option_type,recovery_basis,spot
28684053.89226765,2021-11-16,28675061.39226765,,0,0,716553.8922676519,27967500.0,2021-11-25,5.45,1650,16950.0,put,0.0,17999.2
28691452.556962088,2021-11-17,28682295.056962088,,0,0,723952.5569620878,27967500.0,2021-11-25,5.55,1650,16950.0,put,0.0,17898.65
28698853.130042255,2021-11-18,28691098.130042255,,0,0,731353.1300422549,27967500.0,2021-11-25,4.7,1650,16950.0,put,0.0,17764.8
28706255.612000402,2021-11-22,28678700.612000402,,0,0,738755.6120004021,27967500.0,2021-11-25,16.7,1650,16950.0,put,0.0,17416.55
28713660.003328893,2021-11-23,28704420.003328893,,0,0,746160.0033288933,27967500.0,2021-11-25,5.6,1650,16950.0,put,0.0,17503.35
28721066.304520227,2021-11-24,28716281.304520227,,0,0,753566.304520227,27967500.0,2021-11-25,2.9,1650,16950.0,put,0.0,17415.05
28728474.516067028,2021-11-25,28728474.516067028,,0,0,28728474.516067028,0.0,,0,0,,,0.0,17536.25
29083176.105700567,2021-11-26,28734761.105700567,,0,0,778176.1057005674,28305000.0,2021-12-30,204.95,1700,16650.0,put,0.0,17026.45
29090677.718584973,2021-11-29,28773287.718584973,,0,0,785677.7185849734,28305000.0,2021-12-30,186.7,1700,16650.0,put,0.0,17053.95
29098181.26640921,2021-11-30,28745856.26640921,,0,0,793181.2664092109,28305000.0,2021-12-30,207.25,1700,16650.0,put,0.0,16983.2
29105686.749672372,2021-12-01,28870406.749672372,,0,0,800686.7496723719,28305000.0,2021-12-30,138.4,1700,16650.0,put,0.0,17166.9
29113194.168873675,2021-12-02,28964869.168873675,,0,0,808194.1688736752,28305000.0,2021-12-30,87.25,1700,16650.0,put,0.0,17401.65
29120703.524512473,2021-12-03,28918913.524512473,,0,0,815703.5245124735,28305000.0,2021-12-30,118.7,1700,16650.0,put,0.0,17196.7
29128214.81708824,2021-12-06,28777929.81708824,,0,0,823214.8170882389,28305000.0,2021-12-30,206.05,1700,16650.0,put,0.0,16912.25
29135728.04710058,2021-12-07,28954593.04710058,,0,0,830728.0471005812,28305000.0,2021-12-30,106.55,1700,16650.0,put,0.0,17176.7
29143243.215049237,2021-12-08,29042263.215049237,,0,0,838243.215049237,28305000.0,2021-12-30,59.4,1700,16650.0,put,0.0,17469.75
29150760.32143407,2021-12-09,29070945.32143407,,0,0,845760.3214340694,28305000.0,2021-12-30,46.95,1700,16650.0,put,0.0,17516.85
