date,nifty_tr,synthetic_nifty_wheel
2022-01-05,30097485.908206377,26673953.543563586
2022-01-06,29796377.457107544,26672593.543563586
2022-01-07,29908538.600430604,26681793.543563586
2022-01-10,30228551.140767027,26694113.543563586
2022-01-11,30316602.55146714,26695153.543563586
2022-01-12,30579563.579915103,26699953.543563586
2022-01-13,30655823.330991767,26701313.543563586
2022-01-14,30652430.88923502,26703633.543563586
2022-01-17,30740283.432659734,26706113.543563586
2022-01-18,30412819.21853349,26705233.543563586
2022-01-19,30122320.921480764,26705313.543563586
2022-01-20,29821890.958733287,26706833.543563586
2022-01-21,29587613.610242363,26707473.543563586
2022-01-24,28801502.968678985,26693073.543563586
2022-01-25,29017952.45083445,26706913.543563586
2022-01-27,28736099.031223916,26711713.543563586
2022-01-28,28722330.39692153,26711075.696683586
2022-01-31,29121913.2435662,26773155.696683586
2022-02-01,29519963.642382823,26836355.696683586
2022-02-02,29861149.69851136,26866035.696683586
2022-02-03,29499269.74766667,26845635.696683586
2022-02-04,29425501.686569963,26850595.696683586
2022-02-07,28916998.063383676,26814355.696683586
2022-02-08,29006266.073886205,26837475.696683586
2022-02-09,29344153.27285818,26869075.696683586
2022-02-10,29584923.05298701,26876035.696683586
2022-02-11,29196582.056439698,26860275.696683586
2022-02-14,28320314.35067202,26740995.696683586
2022-02-15,29177256.836501267,26856515.696683586
2022-02-16,29133669.80896458,26858675.696683586
2022-02-17,29104015.188780606,26849395.696683586
2022-02-18,29056474.21188606,26859715.696683586
2022-02-21,28948746.638996817,26876435.696683586
2022-02-22,28756266.512564022,26873075.696683586
2022-02-23,28707555.72816715,26888595.696683586
2022-02-24,27335886.243239243,26887715.696683586
2022-02-25,28026365.12148743,26881258.490836065
2022-02-28,28254372.301765878,27101330.144596066
2022-03-02,27938185.031962063,26876530.144596066
2022-03-03,27756654.303751044,26770770.144596063
2022-03-04,27331464.370880447,26376130.144596066
2022-03-07,26688467.97915169,25757330.144596066
2022-03-08,26941321.87077955,25979250.144596066
2022-03-09,27499682.68971499,26546930.144596066
2022-03-10,27919526.602299955,26940850.144596066
2022-03-11,27979409.048344046,26998210.144596063
2022-03-14,28384548.48062477,27378450.144596066
2022-03-15,28034109.24715283,27032210.144596063
2022-03-16,28559680.361798063,27546530.144596063
2022-03-17,29084069.970865943,27916050.144596063
2022-03-21,28798929.392173868,27758530.144596066
2022-03-22,29131880.003486022,28004850.144596063
2022-03-23,29014431.33025245,27934930.144596063
2022-03-24,28975839.380750697,27969970.144596063
2022-03-25,28858507.688267354,27950770.144596063
2022-03-28,28974599.384798232,28094290.144596066
2022-03-29,29148760.325744595,28252850.144596063
2022-03-30,29439738.243873276,28488610.144596066
2022-03-31,29383388.61648621,28458484.71898198
2022-04-01,29729417.675674375,28727673.810661983
2022-04-04,30373724.25180574,29184793.810661983
2022-04-05,30215086.65641525,29108713.810661983
2022-04-06,29963110.12041413,28945033.810661983
2022-04-07,29680215.572126526,28785353.81066198
2022-04-08,29923851.380636055,28997513.810661983
2022-04-11,29739793.868220013,28809033.810661983
2022-04-12,29496415.41736099,28611273.81066198
2022-04-13,29404433.453453064,28530393.81066198
2022-04-18,28896292.4705925,28080233.810661975
2022-04-19,28534576.292798135,27667993.810661975
2022-04-20,28833883.24034338,27978793.81066198
2022-04-21,29265928.24517761,28375673.81066198
2022-04-22,28894666.438164264,28005033.810661975
2022-04-25,28527838.201584734,27654793.81066197
2022-04-26,28943236.845660858,28048713.810661975
2022-04-27,28669993.209267445,27808393.810661975
2022-04-28,29025006.39007348,28100251.105645016
2022-04-29,28785195.852096554,27899861.30004502
2022-05-02,28728846.22470949,27833941.30004502
2022-05-04,28069940.45094909,27237061.30004502
2022-05-05,28078398.159190916,27237941.30004502
2022-05-06,27621681.914132617,26801301.300045025
2022-05-09,27437495.722891316,26609461.300045025
2022-05-10,27333499.835934494,26530101.300045025
2022-05-11,27210716.84049031,26420581.300045025
2022-05-12,26632445.897865273,25833061.300045025
2022-05-13,26588882.266478635,25796821.300045025
2022-05-16,26690187.596180107,25887701.300045025
2022-05-17,27392750.58592733,26548101.300045025
2022-05-18,27360709.558438607,26501461.30004502
2022-05-19,26634750.41864486,25772021.300045025
2022-05-20,27404331.68020036,26547301.300045025
2022-05-23,27317602.151977878,26435781.300045025
2022-05-24,27166732.078402836,26310021.300045025
2022-05-25,27018611.05245826,26165061.30004502
2022-05-26,27283022.64220911,26401493.270788223
2022-05-27,27590623.52494585,26654934.877668224
2022-05-30,28111936.54028261,27044214.877668224
2022-05-31,28026365.12148743,26980774.87766822
2022-06-01,27921959.801904794,26904374.87766822
2022-06-02,28099817.33455851,27043014.877668224
2022-06-03,28025908.896561522,27039414.877668224
2022-06-06,28001027.09098704,27028774.87766822
