ticker,expiry,lot_size,method
ICICIBANK,2020-10-29,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2020-11-26,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2020-12-31,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2021-01-28,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2021-02-25,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2021-03-25,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2021-04-29,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2021-05-27,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2021-06-24,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2021-07-29,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2021-08-26,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2021-09-30,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2021-10-28,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2021-11-25,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2021-12-30,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2022-01-27,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2022-02-24,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2022-03-31,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2022-04-28,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2022-05-26,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2022-06-30,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2022-07-28,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2022-08-25,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2022-09-29,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2022-10-27,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2022-11-24,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2022-12-29,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2023-01-25,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2023-02-23,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2023-03-29,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2023-04-27,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2023-05-25,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2023-06-29,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2023-07-27,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2023-08-31,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2023-09-28,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2023-10-26,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2023-11-30,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2023-12-28,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2024-01-25,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2024-02-29,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2024-03-28,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2024-04-25,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2024-05-30,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2024-06-27,700,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2024-07-25,700,legacy NSE turnover estimate validated by open-interest divisibility
INDUSINDBK,2020-01-30,400,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
